#tail	head	num_paths
Q9UP38	Q08379	2
Q08379	P25054	1
Q08379	Q99608	1
Q99608	Q9P2D1	1
Q9UP38	Q07954	5
Q07954	P00533	2
P00533	Q13363	3
Q9UP38	O75581	3
O75581	P35222	22
Q07954	P98082	2
P35222	Q9UJU2	4
Q9UP38	P49841	1
P49841	Q13469	1
Q07954	Q9UQF2	2
Q9UQF2	Q02962	2
Q07954	Q13087	2
Q13087	P37231	2
Q9UP38	O14640	1
O14640	Q15797	9
P35222	O00570	14
Q07954	P27824	2
P27824	P15923	2
Q9UP38	P06576	2
P06576	Q13526	1
Q13526	P15884	3
P06576	P25788	1
P25788	Q9NQB0	1
Q9ULW2	O14641	1
O14641	P25054	5
Q9ULW2	P60410	7
P60410	Q13330	1
Q13330	Q9P2D1	4
P60410	Q8TBB1	1
Q8TBB1	Q13363	2
Q9ULW2	O75581	4
O75581	P98082	6
P60410	O43463	1
O43463	Q13469	2
Q9ULW2	A8MQ03	1
A8MQ03	Q9HBH7	1
Q9HBH7	Q02962	1
P60410	Q9H6Z4	1
Q9H6Z4	P37231	1
Q9ULW2	O14640	1
P60410	P25490	1
P25490	P15923	1
P60410	O60573	1
O60573	P15884	2
P60410	Q9Y2T1	1
Q9Y2T1	Q9NQB0	2
Q14332	O14641	1
Q14332	P40763	6
P40763	P51532	1
P51532	Q9P2D1	1
Q14332	Q15884	2
Q15884	O95817	1
O95817	Q13363	2
Q14332	O75581	3
P40763	P08069	1
P08069	Q9UJU2	1
Q14332	Q6P5W5	2
Q6P5W5	Q9P0L0	1
Q9P0L0	Q13469	2
Q6P5W5	Q9NRW7	1
Q9NRW7	Q02962	1
Q15884	Q96CV9	1
Q96CV9	P37231	1
P40763	Q15797	1
P40763	P49137	1
P49137	P15923	1
P40763	Q13526	1
P40763	Q14526	1
Q14526	Q9NQB0	1
Q9NPG1	Q92997	1
Q92997	P25054	2
Q9NPG1	P42336	1
P42336	P61964	1
P61964	Q9P2D1	1
Q9NPG1	P27986	11
P27986	P31749	2
P31749	Q13363	1
P27986	P35222	2
P27986	P98082	1
P27986	P42229	1
P42229	Q9UJU2	1
P27986	P61981	1
P61981	Q13469	1
P27986	P38398	1
P38398	Q02962	1
P31749	P37231	1
Q9NPG1	O14640	1
P27986	P26373	1
P26373	P15923	1
P27986	P43115	1
P43115	P15884	1
P27986	Q09472	1
Q09472	Q9NQB0	2
Q13467	O14641	1
Q13467	Q5S007	2
Q5S007	Q13330	1
Q13467	Q9HAC8	4
Q9HAC8	Q504Q3	1
Q504Q3	Q13363	1
Q13467	O75581	3
Q9HAC8	P28347	1
P28347	Q9UJU2	1
Q5S007	Q13469	1
Q13467	Q9NQ48	1
Q9NQ48	Q9BXC9	1
Q9BXC9	Q02962	1
Q13467	P41220	1
P41220	P51946	1
P51946	P37231	1
Q13467	O14640	1
Q9HAC8	Q6W2J9	1
Q6W2J9	P15923	1
Q9HAC8	Q96HT8	1
Q96HT8	P15884	1
Q13467	Q68DV7	1
Q68DV7	Q9NQB0	1
O75084	O14641	1
O75084	Q96EQ0	1
Q96EQ0	Q13330	1
O75084	Q9UHD9	7
Q9UHD9	Q15717	1
Q15717	Q13363	2
O75084	O75581	3
Q9UHD9	P46937	2
P46937	Q9UJU2	1
Q9UHD9	Q13526	3
Q13526	Q13469	2
O75084	P09471	1
P09471	P45983	1
P45983	Q02962	1
Q13526	P37231	2
O75084	O14640	1
Q9UHD9	P50553	1
P50553	P15923	1
P46937	Q9NQB0	1
Q9H461	Q92997	11
Q9H461	O75487	1
O75487	P48431	1
P48431	Q9P2D1	2
Q92997	Q8TBB1	1
Q92997	P35222	2
Q92997	P98082	1
Q92997	P46531	1
P46531	Q9UJU2	1
Q92997	O43463	1
Q9H461	Q9BXY4	1
Q9BXY4	P04628	1
P04628	Q02962	3
Q92997	O43474	1
O43474	P37231	1
Q9H461	O14640	1
Q92997	Q14498	1
Q14498	P15923	1
Q92997	Q96A72	1
Q96A72	P15884	1
Q92997	Q9Y2T1	1
O00144	Q8IUQ4	1
Q8IUQ4	P25054	1
O00144	P60369	8
P60369	Q9UBE8	3
Q9UBE8	Q9P2D1	1
O00144	P09471	1
P09471	Q9NQ66	1
Q9NQ66	Q13363	1
O00144	O75581	3
Q9UBE8	Q9UJU2	1
P60369	Q13526	2
P60369	O95863	1
O95863	Q02962	1
O00144	O14640	1
P60369	P23769	1
P23769	P15923	1
P60369	Q96SQ5	1
Q96SQ5	P15884	1
Q9UBE8	Q9NQB0	1
Q07954	Q15691	5
Q15691	P25054	2
Q07954	Q13387	1
Q13387	Q12824	1
Q12824	Q9P2D1	1
Q15691	P35222	2
P25054	Q9UJU2	1
Q07954	Q96S59	1
Q96S59	Q13469	1
Q07954	Q92905	1
Q92905	Q15797	1
Q07954	Q9NVN3	1
Q9NVN3	O96019	1
O96019	P15884	1
Q15691	Q09472	1
O75197	O14641	2
O75197	O15198	1
O15198	Q9UBL3	1
Q9UBL3	Q9P2D1	1
O75197	Q00604	2
Q00604	O95817	1
O75197	P19022	4
P19022	P35222	2
O14641	P98082	1
P19022	P14923	1
P14923	Q9UJU2	1
O75197	P41212	1
P41212	Q13469	1
O75197	P05412	2
P05412	Q14258	1
Q14258	Q02962	2
Q00604	P05067	1
P05067	P37231	3
O75197	P49841	1
P49841	Q15797	1
O75197	Q9ULV1	1
Q9ULV1	O14745	1
O14745	P15923	1
P19022	P04629	1
P04629	P15884	1
P05412	Q9NQB0	1
O75581	O14640	2
O14640	P25054	1
O75581	P62979	2
P62979	Q13330	1
P35222	Q13363	1
O75581	P46940	1
P46940	Q13469	1
P62979	Q14258	1
P35222	P37231	1
P35222	P15923	1
P35222	P15884	1
P35222	Q9NQB0	1
Q01973	P19474	1
P19474	P25054	1
Q01973	P05067	11
P37231	Q9P2D1	1
Q01973	P00533	1
P05067	P35222	2
P05067	P98082	1
P05067	P54760	1
P54760	Q9UJU2	1
P05067	Q9P0L0	1
P05067	Q6ZW49	1
Q6ZW49	Q02962	1
P05067	Q15797	1
P05067	Q15365	1
Q15365	P15923	1
P05067	O60573	1
Q01973	P21860	1
P21860	Q9NQB0	1
Q01974	P21333	2
P21333	P25054	1
Q01974	O95416	1
O95416	P48431	1
Q01974	P04629	1
P04629	Q13363	1
Q01974	Q9UBU9	2
Q9UBU9	P35222	2
P21333	P98082	1
Q01974	Q15038	2
Q15038	Q9UJU2	1
Q01974	P31946	1
P31946	Q13469	1
Q01974	P04628	1
Q01974	P35548	1
P35548	P37231	1
Q01974	O14640	1
Q01974	O14503	1
O14503	P15923	1
Q01974	O43741	1
O43741	P15884	1
Q15038	Q9NQB0	1
P34925	P12004	1
P12004	P25054	1
P34925	P09874	1
P09874	Q9P2D1	1
P34925	Q15717	3
P34925	P35222	3
P34925	P06493	1
P06493	P98082	1
P34925	P78527	1
P78527	Q13469	1
P34925	P04628	1
P34925	P28482	2
P28482	P37231	1
P28482	Q15797	1
Q15717	P15923	1
P34925	Q9Y6W5	1
Q9Y6W5	P15884	1
Q15717	Q9NQB0	1
