	#tail	head
496	Q86UU0	NaN
497	Q86V40	NaN
498	URS0000527F89_9606	NaN
499	URS000013D17D_9606	NaN
500	URS0000355E82_9606	NaN
501	Q9UKE5	NaN
502	Q9UKB1	NaN
503	Q06330	NaN
504	P59768	NaN
505	Q06323	NaN
506	Q9UBP4	NaN
507	CPX-459	NaN
508	CPX-1134	NaN
509	CPX-364	NaN
510	CPX-1070	NaN
511	CPX-316	NaN
512	O95343	NaN
513	P84022	NaN
514	Q14526	NaN
515	Q8NBM4	NaN
516	Q8NBI3	NaN
517	Q9UKV5	NaN
518	Q9UKV8	NaN
519	P62333	NaN
520	Q96IU2	NaN
521	P25789	NaN
522	P25788	NaN
523	P25787	NaN
524	P25786	NaN
