#u	v	pathways
Q9Y4K3	Q9NWZ3	hsa05162|hsa04064|hsa04722|hsa04010|hsa05145|hsa05170|hsa05140|hsa05130|hsa05133|hsa04621|hsa05135|hsa05132|hsa05161|hsa05142|hsa04620|hsa05168
P51617	Q9Y4K3	hsa05162|hsa04064|hsa04722|hsa04010|hsa05145|hsa05170|hsa05140|hsa05130|hsa05133|hsa05135|hsa05132|hsa05142|hsa04620|hsa05152|hsa05168
Q9Y4K3	P51617	hsa05162|hsa04064|hsa04722|hsa04010|hsa05145|hsa05170|hsa05140|hsa05130|hsa05133|hsa05135|hsa05132|hsa05142|hsa04620|hsa05152|hsa05168
Q15750	O43318	hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa04621|hsa05135|hsa05132|hsa04620|hsa05168
O43318	Q15750	hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa04621|hsa05135|hsa05132|hsa04620|hsa05168
Q9NYJ8	O43318	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa04621|hsa05135|hsa05132|hsa05168
O43318	Q9NYJ8	hsa05162|hsa04064|hsa04010|hsa05145|hsa05170|hsa05169|hsa05140|hsa05130|hsa04380|hsa05131|hsa04621|hsa05135|hsa05132|hsa05168
Q03518	O15533	hsa05170|hsa05169|hsa04612|hsa05163|hsa05168
O15533	Q03518	hsa05170|hsa05169|hsa04612|hsa05163|hsa05168
Q03519	O15533	hsa05170|hsa05169|hsa04612|hsa05163|hsa05168
O15533	Q03519	hsa05170|hsa05169|hsa04612|hsa05163|hsa05168
P30101	P27797	hsa05170|hsa05169|hsa05168|hsa05163
P27797	P30101	hsa05170|hsa05169|hsa05168|hsa05163
Q92574	P49815	hsa04910|hsa05165|hsa04152|hsa04151|hsa05168|hsa04140|hsa04211|hsa05163
P49815	Q92574	hsa04910|hsa05165|hsa04152|hsa04151|hsa05168|hsa04140|hsa04211|hsa05163
