#u	v	pathways
P01116	P17252	hsa04926|hsa05200|hsa05214|hsa04010
P17252	P01111	hsa04926|hsa05200|hsa05214|hsa04010
P01111	P17252	hsa04926|hsa05200|hsa05214|hsa04010
P17252	P01112	hsa04926|hsa05200|hsa05214|hsa04010
P01112	P17252	hsa04926|hsa05200|hsa05214|hsa04010
P31751	P42345	hsa05226|hsa05224|hsa04213|hsa05215|hsa04630|hsa04910|hsa04066|hsa04371|hsa05200|hsa05205|hsa04935|hsa05214|hsa04012|hsa05221|hsa05210|hsa05225|hsa01521|hsa01522|hsa05170|hsa05235|hsa05167|hsa05230|hsa04211|hsa05212
P42345	P31751	hsa05226|hsa05224|hsa04213|hsa05215|hsa04630|hsa04910|hsa04066|hsa04371|hsa05200|hsa05205|hsa04935|hsa05214|hsa04012|hsa05221|hsa05210|hsa05225|hsa01521|hsa01522|hsa05170|hsa05235|hsa05167|hsa05230|hsa04211|hsa05212
Q9Y243	P42345	hsa05226|hsa05224|hsa04213|hsa05215|hsa04630|hsa04910|hsa04066|hsa04371|hsa05200|hsa05205|hsa04935|hsa05214|hsa04012|hsa05221|hsa05210|hsa05225|hsa01521|hsa01522|hsa05170|hsa05235|hsa05167|hsa05230|hsa04211|hsa05212
P42345	Q9Y243	hsa05226|hsa05224|hsa04213|hsa05215|hsa04630|hsa04910|hsa04066|hsa04371|hsa05200|hsa05205|hsa04935|hsa05214|hsa04012|hsa05221|hsa05210|hsa05225|hsa01521|hsa01522|hsa05170|hsa05235|hsa05167|hsa05230|hsa04211|hsa05212
P31749	P42345	hsa05226|hsa05224|hsa04213|hsa05215|hsa04630|hsa04910|hsa04066|hsa04371|hsa05200|hsa05205|hsa04935|hsa05214|hsa04012|hsa05221|hsa05210|hsa05225|hsa01521|hsa01522|hsa05170|hsa05235|hsa05167|hsa05230|hsa04211|hsa05212
P42345	P31749	hsa05226|hsa05224|hsa04213|hsa05215|hsa04630|hsa04910|hsa04066|hsa04371|hsa05200|hsa05205|hsa04935|hsa05214|hsa04012|hsa05221|hsa05210|hsa05225|hsa01521|hsa01522|hsa05170|hsa05235|hsa05167|hsa05230|hsa04211|hsa05212
P00533	P16885	hsa05225|hsa01521|hsa05214|hsa04020|hsa05223|hsa04012|hsa05200
P16885	P00533	hsa05225|hsa01521|hsa05214|hsa04020|hsa05223|hsa04012|hsa05200
P00533	P19174	hsa05225|hsa01521|hsa05214|hsa04020|hsa05223|hsa04012|hsa05200
P19174	P00533	hsa05225|hsa01521|hsa05214|hsa04020|hsa05223|hsa04012|hsa05200
P09619	P16885	hsa05200|hsa01521|hsa05214|hsa04020
P16885	P09619	hsa05200|hsa01521|hsa05214|hsa04020
P09619	P19174	hsa05200|hsa01521|hsa05214|hsa04020
P19174	P09619	hsa05200|hsa01521|hsa05214|hsa04020
P16234	P16885	hsa05200|hsa01521|hsa05214|hsa04020
P16885	P16234	hsa05200|hsa01521|hsa05214|hsa04020
P16234	P19174	hsa05200|hsa01521|hsa05214|hsa04020
P19174	P16234	hsa05200|hsa01521|hsa05214|hsa04020
P08069	P16885	hsa05200|hsa01521|hsa05214
P16885	P08069	hsa05200|hsa01521|hsa05214
P08069	P19174	hsa05200|hsa01521|hsa05214
P19174	P08069	hsa05200|hsa01521|hsa05214
P09619	P98077	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P98077	P09619	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P09619	Q92529	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
Q92529	P09619	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P09619	Q6S5L8	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
Q6S5L8	P09619	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P09619	P29353	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P29353	P09619	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P16234	P98077	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P98077	P16234	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P16234	Q92529	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
Q92529	P16234	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P16234	Q6S5L8	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
Q6S5L8	P16234	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P16234	P29353	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P29353	P16234	hsa01521|hsa05214|hsa04072|hsa04510|hsa04014
P08069	P98077	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
P98077	P08069	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
P08069	Q92529	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
Q92529	P08069	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
P08069	Q6S5L8	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
Q6S5L8	P08069	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
P08069	P29353	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
P29353	P08069	hsa05225|hsa01521|hsa05214|hsa01522|hsa05224|hsa04510|hsa04014
P09619	O00459	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
O00459	P09619	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P09619	Q92569	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
Q92569	P09619	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P09619	O00329	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
O00329	P09619	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P09619	P42338	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P42338	P09619	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P09619	P27986	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P27986	P09619	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P09619	P42336	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P42336	P09619	hsa05165|hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200
P16234	O00459	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
O00459	P16234	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P16234	Q92569	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
Q92569	P16234	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P16234	O00329	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
O00329	P16234	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P16234	P42338	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P42338	P16234	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P16234	P27986	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P27986	P16234	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P16234	P42336	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P42336	P16234	hsa05214|hsa04072|hsa05231|hsa04510|hsa05215|hsa05200|hsa05163
P08069	O00459	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
O00459	P08069	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P08069	Q92569	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
Q92569	P08069	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P08069	O00329	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
O00329	P08069	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P08069	P42338	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P42338	P08069	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P08069	P27986	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P27986	P08069	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P08069	P42336	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P42336	P08069	hsa05225|hsa05214|hsa01522|hsa04066|hsa05224|hsa04510|hsa04213|hsa05215|hsa04550|hsa04914|hsa05200|hsa05205
P05107	P20701	hsa04514|hsa05150|hsa04670|hsa04650
P20701	P05107	hsa04514|hsa05150|hsa04670|hsa04650
P05107	P11215	hsa05150|hsa05134|hsa04514|hsa05152|hsa04670
P11215	P05107	hsa05150|hsa05134|hsa04514|hsa05152|hsa04670
P05556	P13612	hsa05165|hsa04510|hsa04151|hsa05135|hsa05414|hsa04514|hsa04670|hsa04512
P13612	P05556	hsa05165|hsa04510|hsa04151|hsa05135|hsa05414|hsa04514|hsa04670|hsa04512
Q13797	P05556	hsa05165|hsa04510|hsa04151|hsa05414|hsa04514|hsa04512
P05556	Q13797	hsa05165|hsa04510|hsa04151|hsa05414|hsa04514|hsa04512
P26010	P13612	hsa05165|hsa04510|hsa04151|hsa05414|hsa04514|hsa04512
P13612	P26010	hsa05165|hsa04510|hsa04151|hsa05414|hsa04514|hsa04512
P78357	Q12860	hsa04514
Q12860	P78357	hsa04514
Q9UHC6	Q02246	hsa04514
Q02246	Q9UHC6	hsa04514
P19256	P06729	hsa04514
P06729	P19256	hsa04514
P33681	P16410	hsa04514|hsa05323
P16410	P33681	hsa04514|hsa05323
P42081	P16410	hsa04514|hsa05323
P16410	P42081	hsa04514|hsa05323
P79483	P01730	hsa04514|hsa04612
P01730	P79483	hsa04514|hsa04612
P20036	P01730	hsa04514|hsa04612
P01730	P20036	hsa04514|hsa04612
P01909	P01730	hsa04514|hsa04612
P01730	P01909	hsa04514|hsa04612
P13762	P01730	hsa04514|hsa04612
P01730	P13762	hsa04514|hsa04612
P01906	P01730	hsa04514|hsa04612
P01730	P01906	hsa04514|hsa04612
P13765	P01730	hsa04514|hsa04612
P01730	P13765	hsa04514|hsa04612
P01903	P01730	hsa04514|hsa04612
P01730	P01903	hsa04514|hsa04612
P04440	P01730	hsa04514|hsa04612
P01730	P04440	hsa04514|hsa04612
P01920	P01730	hsa04514|hsa04612
P01730	P01920	hsa04514|hsa04612
P28068	P01730	hsa04514|hsa04612
P01730	P28068	hsa04514|hsa04612
Q30154	P01730	hsa04514|hsa04612
P01730	Q30154	hsa04514|hsa04612
P06340	P01730	hsa04514|hsa04612
P01730	P06340	hsa04514|hsa04612
P01889	P01732	hsa04514|hsa04612
P01732	P01889	hsa04514|hsa04612
P01889	P10966	hsa04514|hsa04612
P10966	P01889	hsa04514|hsa04612
P17693	P01732	hsa04514|hsa04612
P01732	P17693	hsa04514|hsa04612
P17693	P10966	hsa04514|hsa04612
P10966	P17693	hsa04514|hsa04612
P30511	P01732	hsa04514|hsa04612
P01732	P30511	hsa04514|hsa04612
P30511	P10966	hsa04514|hsa04612
P10966	P30511	hsa04514|hsa04612
P10321	P01732	hsa04514|hsa04612
P01732	P10321	hsa04514|hsa04612
P10321	P10966	hsa04514|hsa04612
P10966	P10321	hsa04514|hsa04612
P13747	P01732	hsa04514|hsa04612
P01732	P13747	hsa04514|hsa04612
P13747	P10966	hsa04514|hsa04612
P10966	P13747	hsa04514|hsa04612
P04439	P01732	hsa04514|hsa04612
P01732	P04439	hsa04514|hsa04612
Q9NZQ7	Q15116	hsa04514|hsa05235
Q15116	Q9NZQ7	hsa04514|hsa05235
Q9BQ51	Q15116	hsa04514
Q15116	Q9BQ51	hsa04514
O75144	Q9Y6W8	hsa04672|hsa04514
Q9Y6W8	O75144	hsa04672|hsa04514
P05107	Q15762	hsa04514
Q15762	P05107	hsa04514
P20701	Q15762	hsa04514
Q15762	P20701	hsa04514
P05107	P13598	hsa04514|hsa04650
P13598	P05107	hsa04514|hsa04650
P05107	P32942	hsa04514
P32942	P05107	hsa04514
P20701	P13598	hsa04514|hsa04650
P13598	P20701	hsa04514|hsa04650
P20701	P32942	hsa04514
P32942	P20701	hsa04514
P11215	P05362	hsa04514|hsa05150
P05362	P11215	hsa04514|hsa05150
P05556	P19320	hsa04514|hsa04670
P19320	P05556	hsa04514|hsa04670
P13612	P19320	hsa04514|hsa04670
P19320	P13612	hsa04514|hsa04670
Q13797	P19320	hsa04514
P19320	Q13797	hsa04514
Q14242	P16109	hsa04514|hsa05150
P16109	Q14242	hsa04514|hsa05150
Q14242	P16581	hsa04514
P16581	Q14242	hsa04514
P15151	Q15762	hsa04514
Q15762	P15151	hsa04514
Q92692	Q15762	hsa04514
Q15762	Q92692	hsa04514
Q9P2S2	Q8N2Q7	hsa04514
Q8N2Q7	Q9P2S2	hsa04514
Q9P2S2	Q8NFZ4	hsa04514
Q8NFZ4	Q9P2S2	hsa04514
Q9P2S2	Q9NZ94	hsa04514
Q9NZ94	Q9P2S2	hsa04514
Q9P2S2	Q8N0W4	hsa04514
Q8N0W4	Q9P2S2	hsa04514
Q9P2S2	Q8NFZ3	hsa04514
Q8NFZ3	Q9P2S2	hsa04514
Q9HDB5	Q8N2Q7	hsa04514
Q8N2Q7	Q9HDB5	hsa04514
Q9HDB5	Q8NFZ4	hsa04514
Q8NFZ4	Q9HDB5	hsa04514
Q9HDB5	Q9NZ94	hsa04514
Q9NZ94	Q9HDB5	hsa04514
Q9HDB5	Q8N0W4	hsa04514
Q8N0W4	Q9HDB5	hsa04514
Q9HDB5	Q8NFZ3	hsa04514
Q8NFZ3	Q9HDB5	hsa04514
P58400	Q8N2Q7	hsa04514
Q8N2Q7	P58400	hsa04514
P58400	Q8NFZ4	hsa04514
Q8NFZ4	P58400	hsa04514
P58400	Q9NZ94	hsa04514
Q9NZ94	P58400	hsa04514
P58400	Q8N0W4	hsa04514
Q8N0W4	P58400	hsa04514
P58400	Q8NFZ3	hsa04514
Q8NFZ3	P58400	hsa04514
Q12860	Q92823	hsa04514
Q92823	Q12860	hsa04514
P13591	O15394	hsa04514
O15394	P13591	hsa04514
Q13740	P30203	hsa04514
P30203	Q13740	hsa04514
P08575	P20273	hsa04514
P20273	P08575	hsa04514
P16150	Q9BZZ2	hsa04514
Q9BZZ2	P16150	hsa04514
O15551	P56880	hsa04670|hsa04514|hsa04530
P56880	O15551	hsa04670|hsa04514|hsa04530
O15551	O14493	hsa04670|hsa04514|hsa04530
O14493	O15551	hsa04670|hsa04514|hsa04530
O15551	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	O15551	hsa04670|hsa04514|hsa04530
O15551	O95832	hsa04670|hsa04514|hsa04530
O95832	O15551	hsa04670|hsa04514|hsa04530
O15551	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	O15551	hsa04670|hsa04514|hsa04530
O15551	P56750	hsa04670|hsa04514|hsa04530
P56750	O15551	hsa04670|hsa04514|hsa04530
O15551	P78369	hsa04670|hsa04514|hsa04530
P78369	O15551	hsa04670|hsa04514|hsa04530
O15551	O00501	hsa04670|hsa04514|hsa04530
O00501	O15551	hsa04670|hsa04514|hsa04530
O15551	O75508	hsa04670|hsa04514|hsa04530
O75508	O15551	hsa04670|hsa04514|hsa04530
O15551	Q96B33	hsa04670|hsa04514|hsa04530
Q96B33	O15551	hsa04670|hsa04514|hsa04530
O15551	P56856	hsa04670|hsa04514|hsa04530
P56856	O15551	hsa04670|hsa04514|hsa04530
O15551	A6NM45	hsa04670|hsa04514|hsa04530
A6NM45	O15551	hsa04670|hsa04514|hsa04530
O15551	Q8N6F1	hsa04670|hsa04514|hsa04530
Q8N6F1	O15551	hsa04670|hsa04514|hsa04530
O15551	O95500	hsa04670|hsa04514|hsa04530
O95500	O15551	hsa04670|hsa04514|hsa04530
O15551	P57739	hsa04670|hsa04514|hsa04530
P57739	O15551	hsa04670|hsa04514|hsa04530
O15551	P56748	hsa04670|hsa04514|hsa04530
P56748	O15551	hsa04670|hsa04514|hsa04530
O15551	O95484	hsa04670|hsa04514|hsa04530
O95484	O15551	hsa04670|hsa04514|hsa04530
O15551	C9JDP6	hsa04670|hsa04514|hsa04530
C9JDP6	O15551	hsa04670|hsa04514|hsa04530
O15551	P56747	hsa04670|hsa04514|hsa04530
P56747	O15551	hsa04670|hsa04514|hsa04530
O15551	P56746	hsa04670|hsa04514|hsa04530
P56746	O15551	hsa04670|hsa04514|hsa04530
O15551	O95471	hsa04670|hsa04514|hsa04530
O95471	O15551	hsa04670|hsa04514|hsa04530
P56880	O14493	hsa04670|hsa04514|hsa04530
O14493	P56880	hsa04670|hsa04514|hsa04530
P56880	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P56880	hsa04670|hsa04514|hsa04530
P56880	O95832	hsa04670|hsa04514|hsa04530
O95832	P56880	hsa04670|hsa04514|hsa04530
P56880	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	P56880	hsa04670|hsa04514|hsa04530
P56880	P56750	hsa04670|hsa04514|hsa04530
P56750	P56880	hsa04670|hsa04514|hsa04530
P56880	P78369	hsa04670|hsa04514|hsa04530
P78369	P56880	hsa04670|hsa04514|hsa04530
P56880	O00501	hsa04670|hsa04514|hsa04530
O00501	P56880	hsa04670|hsa04514|hsa04530
P56880	O75508	hsa04670|hsa04514|hsa04530
O75508	P56880	hsa04670|hsa04514|hsa04530
P56880	Q96B33	hsa04670|hsa04514|hsa04530
Q96B33	P56880	hsa04670|hsa04514|hsa04530
P56880	P56856	hsa04670|hsa04514|hsa04530
P56856	P56880	hsa04670|hsa04514|hsa04530
P56880	A6NM45	hsa04670|hsa04514|hsa04530
A6NM45	P56880	hsa04670|hsa04514|hsa04530
P56880	Q8N6F1	hsa04670|hsa04514|hsa04530
Q8N6F1	P56880	hsa04670|hsa04514|hsa04530
P56880	O95500	hsa04670|hsa04514|hsa04530
O95500	P56880	hsa04670|hsa04514|hsa04530
P56880	P57739	hsa04670|hsa04514|hsa04530
P57739	P56880	hsa04670|hsa04514|hsa04530
P56880	P56748	hsa04670|hsa04514|hsa04530
P56748	P56880	hsa04670|hsa04514|hsa04530
P56880	O95484	hsa04670|hsa04514|hsa04530
O95484	P56880	hsa04670|hsa04514|hsa04530
P56880	C9JDP6	hsa04670|hsa04514|hsa04530
C9JDP6	P56880	hsa04670|hsa04514|hsa04530
P56880	P56747	hsa04670|hsa04514|hsa04530
P56747	P56880	hsa04670|hsa04514|hsa04530
P56880	P56746	hsa04670|hsa04514|hsa04530
P56746	P56880	hsa04670|hsa04514|hsa04530
P56880	O95471	hsa04670|hsa04514|hsa04530
O95471	P56880	hsa04670|hsa04514|hsa04530
O14493	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	O14493	hsa04670|hsa04514|hsa04530
O14493	O95832	hsa04670|hsa04514|hsa04530
O95832	O14493	hsa04670|hsa04514|hsa04530
O14493	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	O14493	hsa04670|hsa04514|hsa04530
O14493	P56750	hsa04670|hsa04514|hsa04530
P56750	O14493	hsa04670|hsa04514|hsa04530
O14493	P78369	hsa04670|hsa04514|hsa04530
P78369	O14493	hsa04670|hsa04514|hsa04530
O14493	O00501	hsa04670|hsa04514|hsa04530
O00501	O14493	hsa04670|hsa04514|hsa04530
O14493	O75508	hsa04670|hsa04514|hsa04530
O75508	O14493	hsa04670|hsa04514|hsa04530
O14493	Q96B33	hsa04670|hsa04514|hsa04530
Q96B33	O14493	hsa04670|hsa04514|hsa04530
O14493	P56856	hsa04670|hsa04514|hsa04530
P56856	O14493	hsa04670|hsa04514|hsa04530
O14493	A6NM45	hsa04670|hsa04514|hsa04530
A6NM45	O14493	hsa04670|hsa04514|hsa04530
O14493	Q8N6F1	hsa04670|hsa04514|hsa04530
Q8N6F1	O14493	hsa04670|hsa04514|hsa04530
O14493	O95500	hsa04670|hsa04514|hsa04530
O95500	O14493	hsa04670|hsa04514|hsa04530
O14493	P57739	hsa04670|hsa04514|hsa04530
P57739	O14493	hsa04670|hsa04514|hsa04530
O14493	P56748	hsa04670|hsa04514|hsa04530
P56748	O14493	hsa04670|hsa04514|hsa04530
O14493	O95484	hsa04670|hsa04514|hsa04530
O95484	O14493	hsa04670|hsa04514|hsa04530
O14493	C9JDP6	hsa04670|hsa04514|hsa04530
C9JDP6	O14493	hsa04670|hsa04514|hsa04530
O14493	P56747	hsa04670|hsa04514|hsa04530
P56747	O14493	hsa04670|hsa04514|hsa04530
O14493	P56746	hsa04670|hsa04514|hsa04530
P56746	O14493	hsa04670|hsa04514|hsa04530
O14493	O95471	hsa04670|hsa04514|hsa04530
O95471	O14493	hsa04670|hsa04514|hsa04530
Q8N7P3	O95832	hsa04670|hsa04514|hsa04530
O95832	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P56750	hsa04670|hsa04514|hsa04530
P56750	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P78369	hsa04670|hsa04514|hsa04530
P78369	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	O00501	hsa04670|hsa04514|hsa04530
O00501	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	O75508	hsa04670|hsa04514|hsa04530
O75508	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	Q96B33	hsa04670|hsa04514|hsa04530
Q96B33	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P56856	hsa04670|hsa04514|hsa04530
P56856	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	A6NM45	hsa04670|hsa04514|hsa04530
A6NM45	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	Q8N6F1	hsa04670|hsa04514|hsa04530
Q8N6F1	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	O95500	hsa04670|hsa04514|hsa04530
O95500	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P57739	hsa04670|hsa04514|hsa04530
P57739	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P56748	hsa04670|hsa04514|hsa04530
P56748	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	O95484	hsa04670|hsa04514|hsa04530
O95484	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	C9JDP6	hsa04670|hsa04514|hsa04530
C9JDP6	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P56747	hsa04670|hsa04514|hsa04530
P56747	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	P56746	hsa04670|hsa04514|hsa04530
P56746	Q8N7P3	hsa04670|hsa04514|hsa04530
Q8N7P3	O95471	hsa04670|hsa04514|hsa04530
O95471	Q8N7P3	hsa04670|hsa04514|hsa04530
O95832	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	O95832	hsa04670|hsa04514|hsa04530
O95832	P56750	hsa04670|hsa04514|hsa04530
P56750	O95832	hsa04670|hsa04514|hsa04530
O95832	P78369	hsa04670|hsa04514|hsa04530
P78369	O95832	hsa04670|hsa04514|hsa04530
O95832	O00501	hsa04670|hsa04514|hsa04530
O00501	O95832	hsa04670|hsa04514|hsa04530
O95832	O75508	hsa04670|hsa04514|hsa04530
O75508	O95832	hsa04670|hsa04514|hsa04530
O95832	Q96B33	hsa04670|hsa04514|hsa04530
Q96B33	O95832	hsa04670|hsa04514|hsa04530
O95832	P56856	hsa04670|hsa04514|hsa04530
P56856	O95832	hsa04670|hsa04514|hsa04530
O95832	A6NM45	hsa04670|hsa04514|hsa04530
A6NM45	O95832	hsa04670|hsa04514|hsa04530
O95832	Q8N6F1	hsa04670|hsa04514|hsa04530
Q8N6F1	O95832	hsa04670|hsa04514|hsa04530
O95832	O95500	hsa04670|hsa04514|hsa04530
O95500	O95832	hsa04670|hsa04514|hsa04530
O95832	P57739	hsa04670|hsa04514|hsa04530
P57739	O95832	hsa04670|hsa04514|hsa04530
O95832	P56748	hsa04670|hsa04514|hsa04530
P56748	O95832	hsa04670|hsa04514|hsa04530
O95832	O95484	hsa04670|hsa04514|hsa04530
O95484	O95832	hsa04670|hsa04514|hsa04530
O95832	C9JDP6	hsa04670|hsa04514|hsa04530
C9JDP6	O95832	hsa04670|hsa04514|hsa04530
O95832	P56747	hsa04670|hsa04514|hsa04530
P56747	O95832	hsa04670|hsa04514|hsa04530
O95832	P56746	hsa04670|hsa04514|hsa04530
P56746	O95832	hsa04670|hsa04514|hsa04530
O95832	O95471	hsa04670|hsa04514|hsa04530
O95471	O95832	hsa04670|hsa04514|hsa04530
Q9Y5I7	P56750	hsa04670|hsa04514|hsa04530
P56750	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	P78369	hsa04670|hsa04514|hsa04530
P78369	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	O00501	hsa04670|hsa04514|hsa04530
O00501	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	O75508	hsa04670|hsa04514|hsa04530
O75508	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	Q96B33	hsa04670|hsa04514|hsa04530
Q96B33	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	P56856	hsa04670|hsa04514|hsa04530
P56856	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	A6NM45	hsa04670|hsa04514|hsa04530
A6NM45	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	Q8N6F1	hsa04670|hsa04514|hsa04530
Q8N6F1	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	O95500	hsa04670|hsa04514|hsa04530
O95500	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	P57739	hsa04670|hsa04514|hsa04530
P57739	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	P56748	hsa04670|hsa04514|hsa04530
P56748	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	O95484	hsa04670|hsa04514|hsa04530
O95484	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	C9JDP6	hsa04670|hsa04514|hsa04530
C9JDP6	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	P56747	hsa04670|hsa04514|hsa04530
P56747	Q9Y5I7	hsa04670|hsa04514|hsa04530
Q9Y5I7	P56746	hsa04670|hsa04514|hsa04530
