#Node1	Node2	weight
P01106	P26641	0.7457060000000001
P01106	P25208	0.75
P01106	P04637	0.7457060000000001
P01106	Q9UJU2	0.473922
P01106	P38398	0.75
P01106	P08047	0.75
P01106	P01100	0.522075
P01106	P12757	0.473922
P01106	P84022	0.75
P01106	O15350	0.75
P01106	Q13569	0.7457060000000001
P01106	P15884	0.348804
P01106	Q13573	0.311133
P01106	O60315	0.473922
P01106	Q13952	0.75
P01106	Q13950	0.38995799999999997
P01106	Q15022	0.75
P01106	Q92793	0.75
P01106	P04792	0.7457060000000001
P01106	Q15796	0.75
P01106	P05412	0.75
P01106	Q01196	0.7457060000000001
P01106	Q96KQ7	0.75
P01106	Q13118	0.38995799999999997
P01106	P28749	0.311133
P01106	Q8TAD8	0.75
P01106	P29590	0.75
P01106	Q09472	0.75
P01106	Q14186	0.473922
P01106	P49711	0.348804
P01106	P23511	0.473922
P01106	O43524	0.311133
P01106	O15105	0.311133
P01106	P06400	0.28041900000000003
P01106	O15111	0.710749
P01106	P11473	0.311133
P01106	O75928	0.75
P01106	P41235	0.75
P01106	Q13485	0.348804
P27986	P31749	0.75
P27986	O15530	0.75
P27986	O75593	0.75
P27986	P61981	0.75
P27986	P03372	0.75
P27986	P62993	0.75
P27986	P63104	0.75
P27986	P48736	0.75
P27986	P36897	0.75
P27986	Q09472	0.311133
P27986	P38398	0.75
P27986	P37173	0.75
P27986	P35222	0.75
P27986	P98082	0.75
P27986	P49841	0.182661
Q16254	P01106	0.473922
Q16254	Q15022	0.348804
Q16254	P10275	0.311133
Q16254	P03372	0.473922
Q16254	Q09472	0.348804
Q16254	P84022	0.75
Q16254	P29590	0.75
Q16254	Q02363	0.311133
Q16254	P38398	0.75
Q16254	Q13485	0.75
Q16254	Q14186	0.75
Q16254	Q14188	0.75
Q16254	Q15329	0.75
Q16254	Q13547	0.75
Q12778	P61981	0.75
Q12778	P10275	0.75
Q12778	Q92793	0.75
Q12778	P03372	0.75
Q12778	P41235	0.75
Q12778	P63104	0.75
Q12778	P84022	0.75
Q12778	P29590	0.311133
Q12778	P06400	0.7457060000000001
Q12778	Q09472	0.75
Q12778	Q13485	0.75
Q12778	Q15788	0.49229300000000004
Q12778	P98177	0.7457060000000001
Q12778	Q15796	0.75
Q12778	P55316	0.473922
Q12778	P35222	0.473922
Q12778	P49841	0.75
Q12778	Q08999	0.473922
O14641	P31749	0.473922
O14641	P62993	0.404698
O14641	Q9GZV5	0.311133
O14641	Q9H0M0	0.75
O14641	P05412	0.473922
O14641	P84022	0.41388500000000006
O14641	Q8TAD8	0.75
O14641	Q14186	0.41388500000000006
O14641	P98082	0.75
O14641	P04637	0.75
O14641	P49841	0.75
O14641	P35222	0.311133
Q15329	Q16254	0.75
Q15329	P01106	0.473922
Q15329	P03372	0.473922
Q15329	Q13485	0.75
Q15329	P84022	0.75
Q15329	Q14186	0.75
Q15329	Q14188	0.75
O15350	P25208	0.311133
O15350	Q92793	0.49229300000000004
O15350	P84022	0.75
O15350	P06400	0.75
O15350	Q09472	0.75
O15350	Q13569	0.28041900000000003
O15350	P38398	0.311133
O15350	Q9UER7	0.75
O15350	Q9GZV5	0.452539
O15350	O15111	0.75
O15350	Q15796	0.75
O15350	Q13547	0.75
O15350	P01106	0.75
O15350	P04637	0.75
O15350	Q13952	0.311133
O15350	Q13950	0.75
O15350	Q9H2X6	0.28041900000000003
P01100	Q13547	0.75
P01100	P16220	0.348804
P01100	P15336	0.75
P01100	Q92793	0.75
P01100	P17535	0.75
P01100	P03372	0.75
P01100	P17275	0.75
P01100	P05412	0.75
P01100	P84022	0.75
P01100	P29590	0.75
P01100	P06400	0.75
P01100	Q09472	0.75
P01100	P17844	0.522075
P01100	P14921	0.473922
P01100	Q13485	0.75
P01100	Q01196	0.75
P01100	Q15788	0.75
P01100	P53539	0.7457060000000001
P01100	P11473	0.49229300000000004
P01100	P01106	0.522075
P01100	Q13950	0.75
P01100	Q15796	0.283713
P01100	P18847	0.5570579999999999
Q99496	Q13838	0.710749
Q99496	P10275	0.710749
Q99496	Q96KQ7	0.311133
Q99496	P17844	0.710749
Q99496	Q01844	0.710749
Q99496	Q13547	0.311133
Q99496	Q13573	0.75
Q99496	P04637	0.311133
Q99496	Q14186	0.7457060000000001
Q99496	Q15022	0.75
Q99496	Q86V81	0.710749
Q99496	Q96HC4	0.710749
P63104	Q92574	0.75
P63104	P28749	0.75
P63104	P27986	0.75
P63104	Q92905	0.75
P63104	Q92934	0.75
P63104	P04049	0.75
P63104	Q01844	0.311133
P63104	Q9NPI6	0.75
P63104	Q9GZV5	0.75
P63104	P62993	0.75
P63104	P61981	0.75
P63104	P15336	0.75
P63104	P36897	0.75
P63104	Q09472	0.568782
P63104	P35222	0.75
P63104	P98177	0.675474
P63104	P04637	0.75
P63104	P49841	0.75
P63104	O75925	0.28041900000000003
P63104	Q12778	0.75
P63104	P04792	0.75
P63104	P38398	0.311133
P63104	Q06413	0.75
P63104	O43524	0.75
P63104	P03372	0.38995799999999997
P63104	P05412	0.41388500000000006
Q14188	P06400	0.75
Q14188	Q16254	0.75
Q14188	P28749	0.75
Q14188	Q08999	0.75
Q14188	Q13547	0.473922
Q14188	Q15329	0.75
P05106	P05771	0.75
P05106	P37173	0.75
P05106	P35222	0.75
Q15022	P31269	0.75
Q15022	Q13838	0.710749
Q15022	P10275	0.710749
Q15022	P28749	0.348804
Q15022	P06400	0.348804
Q15022	P17844	0.710749
Q15022	Q01844	0.75
Q15022	P15336	0.41388500000000006
Q15022	Q08999	0.348804
Q15022	P29590	0.75
Q15022	Q86V81	0.710749
Q15022	P16220	0.28041900000000003
Q15022	Q13573	0.710749
Q15022	P49711	0.75
Q15022	Q99496	0.75
Q15022	P38398	0.75
Q15022	Q13547	0.75
Q15022	P01106	0.75
Q15022	Q96HC4	0.710749
Q15022	Q16254	0.348804
Q15022	P03372	0.311133
P84022	Q9HAU4	0.75
P84022	P10275	0.75
P84022	P17275	0.75
P84022	P28749	0.75
P84022	Q13761	0.75
P84022	P17844	0.75
P84022	Q9UPN9	0.75
P84022	Q15329	0.75
P84022	Q9GZV5	0.75
P84022	O15111	0.75
P84022	Q9H2X6	0.49229300000000004
P84022	P62993	0.75
P84022	P01100	0.75
P84022	Q9H0M0	0.75
P84022	O75593	0.75
P84022	P15336	0.75
P84022	P11473	0.75
P84022	P29590	0.75
P84022	O14641	0.41388500000000006
P84022	Q14186	0.75
P84022	Q15788	0.311133
P84022	Q13573	0.75
P84022	P37275	0.75
P84022	P98177	0.75
P84022	P14921	0.75
P84022	O60315	0.75
P84022	P04637	0.75
P84022	Q13950	0.75
P84022	P49841	0.75
P84022	P35222	0.75
P84022	P18847	0.75
P84022	Q15583	0.75
P84022	Q9UJU2	0.75
P84022	Q12778	0.75
P84022	O15530	0.75
P84022	P49711	0.75
P84022	P41235	0.75
P84022	P48436	0.75
P84022	P38398	0.75
P84022	Q8TAK6	0.75
P84022	P08047	0.75
P84022	Q15796	0.75
P84022	Q13547	0.75
P84022	P01106	0.75
P84022	O43524	0.75
P84022	Q16254	0.75
P84022	P17535	0.75
P84022	P03372	0.75
P84022	P12755	0.75
P84022	P12757	0.75
P84022	P05412	0.75
P84022	Q01196	0.75
P84022	Q13952	0.75
P84022	Q13485	0.75
P84022	P98082	0.75
P84022	P53539	0.75
P84022	O15350	0.75
P26641	P31749	0.28041900000000003
P26641	P62993	0.75
P26641	Q9HAU4	0.75
P26641	P61981	0.75
P26641	P12757	0.75
P26641	P05412	0.41388500000000006
P26641	Q13573	0.311133
P26641	Q92905	0.311133
P26641	P01106	0.7457060000000001
P26641	P55316	0.75
P26641	P49841	0.28041900000000003
Q9HAU4	O15105	0.75
Q9HAU4	Q9H0M0	0.75
Q9HAU4	P04792	0.311133
Q9HAU4	P12757	0.75
Q9HAU4	P84022	0.75
Q9HAU4	P36897	0.75
Q9HAU4	Q13761	0.311133
Q9HAU4	P37173	0.75
Q9HAU4	Q13485	0.311133
Q9HAU4	P98082	0.75
Q9HAU4	O43541	0.75
Q9HAU4	P26641	0.75
Q9HAU4	Q15796	0.75
Q9HAU4	Q13950	0.568782
Q9HAU4	P49841	0.311133
Q8TAD8	Q13573	0.75
Q8TAD8	Q09472	0.75
Q8TAD8	Q13569	0.75
Q8TAD8	O14641	0.75
Q8TAD8	Q13485	0.75
Q8TAD8	Q92793	0.75
Q8TAD8	Q15796	0.75
Q8TAD8	P01106	0.75
Q8TAD8	O75925	0.75
Q13761	P29590	0.311133
Q13761	O43524	0.473922
Q13761	Q09472	0.75
Q13761	Q9HAU4	0.311133
Q13761	Q15796	0.311133
Q13761	P15884	0.473922
Q13761	P35222	0.75
Q13761	Q13485	0.75
Q13761	Q13547	0.311133
Q13761	P84022	0.75
Q02078	Q06413	0.7457060000000001
Q02078	P05556	0.311133
Q02078	Q09472	0.75
Q02078	Q15796	0.75
Q02078	P17535	0.7457060000000001
Q02078	Q13547	0.311133
Q02078	Q13485	0.473922
Q02078	P05412	0.75
Q02078	P18847	0.7457060000000001
P29590	Q15022	0.75
P29590	Q15583	0.75
P29590	P15336	0.75
P29590	Q16254	0.75
P29590	Q08999	0.75
P29590	P12755	0.75
P29590	P12757	0.311133
P29590	P05412	0.75
P29590	Q01196	0.75
P29590	Q96KQ7	0.311133
P29590	P84022	0.75
P29590	Q13761	0.311133
P29590	P08047	0.75
P29590	P06400	0.75
P29590	Q13569	0.75
P29590	Q13950	0.311133
P29590	P35222	0.75
P29590	Q16539	0.473922
P29590	Q92793	0.75
P29590	Q15796	0.311133
P29590	Q13547	0.75
P29590	P01106	0.75
P29590	P01100	0.75
P29590	Q9UER7	0.75
P29590	P04637	0.75
P29590	Q12778	0.311133
Q9UPN9	P12757	0.710749
Q9UPN9	P05412	0.75
Q9UPN9	P84022	0.75
Q9UPN9	P35222	0.75
Q9UPN9	Q13485	0.75
Q9UPN9	Q01196	0.75
Q9UPN9	Q01844	0.058035300000000005
Q9UPN9	Q15796	0.75
Q9UPN9	P15884	0.75
Q15796	P31749	0.444309
Q15796	Q9UPN9	0.75
Q15796	Q13547	0.75
Q15796	O43524	0.75
Q15796	Q9HAU4	0.75
Q15796	Q15583	0.75
Q15796	Q13950	0.75
Q15796	Q12778	0.75
Q15796	O15530	0.75
Q15796	O75593	0.75
Q15796	P29590	0.311133
Q15796	P37275	0.75
Q15796	P03372	0.75
Q15796	P12755	0.75
Q15796	P12757	0.75
Q15796	P48436	0.75
Q15796	Q9GZV5	0.75
Q15796	P05412	0.75
Q15796	Q01196	0.311133
Q15796	P84022	0.75
Q15796	P36897	0.75
Q15796	Q13761	0.311133
Q15796	P08047	0.75
Q15796	Q8TAK6	0.348804
Q15796	Q13485	0.75
Q15796	Q8TAD8	0.75
Q15796	Q02078	0.75
Q15796	P98082	0.75
Q15796	Q13573	0.75
Q15796	Q9H2X6	0.49229300000000004
Q15796	Q9H160	0.75
Q15796	Q06413	0.75
Q15796	O15111	0.75
Q15796	Q92905	0.75
Q15796	Q9H0M0	0.75
Q15796	Q9UJU2	0.75
Q15796	P01106	0.75
Q15796	P01100	0.283713
Q15796	O15350	0.75
Q15796	P15884	0.348804
Q15796	P04637	0.75
Q15796	Q13952	0.75
Q15796	O60315	0.75
Q15796	P49841	0.348804
Q15796	P35222	0.75
Q15796	P18847	0.311133
Q08999	Q14188	0.75
Q08999	P29590	0.75
Q08999	P04049	0.75
Q08999	Q15329	0.75
Q08999	P38398	0.75
Q08999	Q16254	0.75
Q08999	P28749	0.75
Q08999	Q15022	0.348804
Q08999	Q02363	0.75
Q08999	Q14186	0.75
Q08999	Q13573	0.49229300000000004
Q08999	Q13547	0.75
P23511	Q13547	0.311133
P23511	P25208	0.75
P23511	P15336	0.311133
P23511	P16220	0.7457060000000001
P23511	P03372	0.311133
P23511	Q09472	0.75
P23511	P05412	0.311133
P23511	P04637	0.75
P23511	P38398	0.75
P23511	P37173	0.75
P23511	P08047	0.75
P23511	Q13952	0.75
P05771	P31749	0.40824
P05771	Q96HC4	0.75
P05771	P49840	0.75
P05771	P62993	0.473922
P05771	P48736	0.75
P05771	O15530	0.75
P05771	P16220	0.62552
P05771	P15336	0.75
P05771	P10275	0.49229300000000004
P05771	P61981	0.75
P05771	Q09472	0.568782
P05771	P34741	0.568782
P05771	P06400	0.568782
P05771	O14641	0.75
P05771	P98082	0.568782
P05771	P04049	0.75
P05771	P05556	0.430888
P05771	P05106	0.75
P05771	O15111	0.75
P05771	Q16625	0.674374
P05771	P01100	0.62552
P05771	P49841	0.75
P98177	P11473	0.311133
P98177	P55316	0.473922
P98177	Q92793	0.75
P98177	P03372	0.75
P98177	Q12778	0.7457060000000001
P98177	Q08999	0.473922
P98177	Q13485	0.75
P98177	P63104	0.675474
P98177	P35222	0.75
P98177	P84022	0.75
P14921	Q92574	0.283713
P14921	P16220	0.348804
P14921	P15336	0.49229300000000004
P14921	P10275	0.75
P14921	Q92793	0.75
P14921	P17535	0.283713
P14921	P05412	0.75
P14921	P84022	0.75
P14921	Q09472	0.49229300000000004
P14921	P38398	0.49229300000000004
P14921	Q9UER7	0.75
P14921	Q13950	0.49229300000000004
P14921	P35222	0.41388500000000006
P14921	Q15788	0.311133
P14921	P08047	0.75
P14921	O15111	0.75
P14921	P01100	0.473922
P14921	P15884	0.41388500000000006
P14921	P04637	0.710749
Q06413	P08047	0.641285
Q06413	Q09472	0.49229300000000004
Q06413	Q92905	0.75
Q06413	Q15796	0.75
Q06413	P63104	0.75
Q06413	Q02078	0.7457060000000001
Q06413	P05412	0.41388500000000006
Q06413	Q9H2X6	0.41388500000000006
Q9NPI6	Q13485	0.75
Q9NPI6	P63104	0.75
O75928	P31749	0.75
O75928	O75925	0.75
O75928	P10275	0.75
O75928	P03372	0.49229300000000004
O75928	Q13838	0.75
O75928	P05412	0.75
O75928	P84022	0.75
O75928	P29590	0.75
O75928	Q13485	0.75
O75928	P01106	0.75
O75928	P04637	0.75
P48436	Q92793	0.473922
P48436	Q09472	0.311133
P48436	Q15796	0.75
P48436	O75925	0.473922
P48436	P35222	0.473922
P48436	Q13950	0.75
P48436	P10275	0.473922
P48436	P84022	0.75
Q02363	Q96HC4	0.75
Q02363	Q8TAK6	0.75
Q02363	P06400	0.75
Q02363	Q08999	0.75
Q02363	P28749	0.75
Q02363	P15884	0.75
Q02363	Q16254	0.311133
P10275	P04049	0.697741
P10275	P28749	0.311133
P10275	P27986	0.75
P10275	Q15022	0.710749
P10275	P06400	0.75
P10275	P17844	0.75
P10275	P15884	0.75
P10275	P62993	0.75
P10275	P15336	0.75
P10275	P05771	0.49229300000000004
P10275	Q9UER7	0.75
P10275	P35222	0.75
P10275	Q15788	0.75
P10275	P04637	0.75
P10275	Q13950	0.75
P10275	P49840	0.311133
P10275	O75928	0.75
P10275	Q15583	0.49229300000000004
P10275	O75925	0.75
P10275	Q12778	0.75
P10275	P16220	0.75
P10275	Q92793	0.75
P10275	P04792	0.75
P10275	P41235	0.75
P10275	P48436	0.473922
P10275	Q99496	0.710749
P10275	P38398	0.75
P10275	P08047	0.75
P10275	O43524	0.473922
P10275	Q16254	0.311133
P10275	P17535	0.75
P10275	P03372	0.75
P10275	P05412	0.75
P10275	Q01196	0.75
P10275	P84022	0.75
P10275	P14921	0.75
P10275	Q13485	0.75
Q92905	O15105	0.75
Q92905	Q15788	0.75
Q92905	P17844	0.311133
Q92905	Q06413	0.75
Q92905	P04049	0.710749
Q92905	Q01844	0.311133
Q92905	O15111	0.75
Q92905	P26641	0.311133
Q92905	P61981	0.75
Q92905	P63104	0.75
Q92905	P35222	0.311133
Q92905	Q13573	0.41388500000000006
Q92905	P04637	0.75
Q92905	P49841	0.311133
Q92905	Q13485	0.75
Q92905	Q86V81	0.311133
Q92905	P04792	0.311133
Q92905	P41235	0.28041900000000003
Q92905	Q15796	0.75
Q92905	P01106	0.473922
Q92905	P01100	0.473922
Q92905	P17535	0.75
Q92905	P03372	0.311133
Q92905	P05412	0.75
Q92905	Q16539	0.75
O43524	P31749	0.75
O43524	Q92793	0.75
O43524	Q08999	0.473922
O43524	P03372	0.75
O43524	P28749	0.75
O43524	P84022	0.75
O43524	P11473	0.75
O43524	Q13761	0.473922
O43524	P06400	0.75
O43524	Q09472	0.75
O43524	P38398	0.311133
O43524	Q13485	0.75
O43524	P35222	0.75
O43524	O15111	0.75
O43524	Q15796	0.75
O43524	P01106	0.311133
O43524	P55316	0.473922
O43524	P04637	0.75
P41235	P11473	0.75
P41235	P01106	0.75
P41235	Q12778	0.75
P41235	P10275	0.75
P41235	P84022	0.75
P41235	P06400	0.473922
P41235	Q09472	0.473922
