#node	node_symbol	node_type
Q13490	none	BIRC2
Q14790	none	CASP8
Q86VB7	none	CD163
Q13158	none	FADD
Q13547	tf	HDAC1
Q00653	tf	NFKB2
P63000	none	RAC1
Q04206	tf	RELA
Q01201	tf	RELB
Q13546	none	RIPK1
Q9NP84	none	TNFRSF12A
Q93038	receptor	TNFRSF25
O43508	none	TNFSF12
Q13077	none	TRAF1
Q12933	none	TRAF2
Q13114	none	TRAF3
O00463	none	TRAF5
