#Node1	Node2	weight
Q02962	Q02363	0.75
Q13469	Q13363	0.311133
Q13469	Q9UJU2	0.311133
Q13469	Q13422	0.75
Q9UP38	Q07954	0.75
Q9UP38	O75581	0.75
Q9UP38	O75197	0.75
Q9H461	O75581	0.75
Q9H461	O75197	0.75
Q9H461	P34925	0.75
O75197	Q9NPG1	0.75
O75197	O75084	0.75
O75197	Q9H461	0.75
O75197	O00144	0.75
O75197	Q9ULW2	0.75
O75197	Q13467	0.75
O75197	Q9UP38	0.75
O75197	Q14332	0.75
Q15797	Q9UJU2	0.311133
Q15797	O00255	0.75
Q15797	P25054	0.148423
Q9NQB0	O00255	0.75
Q9NQB0	Q02363	0.75
Q9NQB0	Q9UJU2	0.75
Q9NQB0	P35222	0.75
O00144	O75581	0.75
O00144	O75197	0.75
P56703	Q14332	0.75
P56703	Q9NPG1	0.75
P56703	O75084	0.75
P56703	Q9UP38	0.75
P56703	O75581	0.75
P56703	Q9H461	0.75
P56703	Q13467	0.75
P56703	Q01974	0.75
P56703	Q9ULW2	0.75
P56703	Q01973	0.75
P56703	O00144	0.75
P56703	O75197	0.75
P15884	Q13363	0.75
P15884	P37231	0.710749
P15884	P50553	0.75
P15884	Q02363	0.75
P15884	P35222	0.75
P15884	P15923	0.28041900000000003
Q07954	Q9UP38	0.75
Q07954	P98082	0.49229300000000004
Q01973	P56703	0.75
P50553	P15884	0.75
P50553	P15923	0.75
Q14332	O75581	0.75
Q14332	O75197	0.75
Q14332	Q01974	0.75
P15923	O00255	0.75
P15923	P50553	0.75
P15923	Q02363	0.75
P15923	P35222	0.75
P15923	P15884	0.28041900000000003
O75084	O75581	0.75
O75084	O75197	0.75
Q13467	Q9ULW2	0.75
Q13467	O75581	0.75
Q13467	O75197	0.75
Q13467	Q01974	0.75
O94907	O75581	0.75
O94907	P35222	0.75
O94907	O75197	0.75
Q13422	Q13363	0.75
Q13422	Q13469	0.75
Q02363	P15923	0.75
Q02363	Q02962	0.75
Q02363	P15884	0.75
Q02363	Q9NQB0	0.75
P35222	O75581	0.311133
P35222	O00570	0.75
P35222	O94907	0.75
P35222	P15923	0.75
P35222	P15884	0.75
P35222	P37231	0.311133
P35222	Q9UBE8	0.75
P35222	P34925	0.311133
P35222	Q9UJU2	0.75
P35222	P25054	0.75
P35222	O00255	0.75
P35222	Q9NQB0	0.75
P35222	Q13363	0.311133
O75581	Q9NPG1	0.75
O75581	O75084	0.75
O75581	O00144	0.75
O75581	Q13467	0.75
O75581	Q14332	0.75
O75581	Q9H461	0.75
O75581	Q9ULW2	0.75
O75581	Q9UP38	0.75
O75581	P98082	0.75
O75581	P35222	0.311133
P37231	Q9P2D1	0.75
P37231	Q9UBE8	0.75
P37231	P35222	0.311133
P37231	P15884	0.710749
Q13363	Q9UJU2	0.650125
Q13363	Q9NQB0	0.75
Q13363	P25054	0.75
Q13363	Q13469	0.311133
Q13363	P35222	0.311133
Q13363	P15884	0.75
Q13363	Q13422	0.75
Q9UJU2	Q15797	0.311133
Q9UJU2	P35222	0.75
Q9UJU2	Q9NQB0	0.75
Q9UJU2	Q13469	0.311133
Q9UJU2	P25054	0.49229300000000004
O00255	P15923	0.75
O00255	Q9NQB0	0.75
O00255	Q15797	0.75
O00255	P35222	0.75
Q9P2D1	Q9UBE8	0.75
Q9P2D1	P37231	0.75
O00570	P35222	0.75
Q9NPG1	O75581	0.75
Q9NPG1	O75197	0.75
Q9NPG1	P34925	0.430888
Q01974	P56703	0.75
Q01974	Q14332	0.75
Q01974	Q13467	0.75
P98082	O75581	0.75
P98082	Q07954	0.49229300000000004
P34925	Q9NPG1	0.430888
P34925	Q9H461	0.75
P34925	P35222	0.311133
Q9UBE8	Q9UJU2	0.75
Q9UBE8	P15884	0.75
Q9UBE8	P35222	0.75
Q9UBE8	Q9P2D1	0.75
Q9UBE8	P37231	0.75
Q9UBE8	Q9NQB0	0.75
P25054	Q9UJU2	0.49229300000000004
P25054	Q13363	0.75
P25054	P35222	0.75
P25054	Q15797	0.148423
Q9ULW2	O75581	0.75
Q9ULW2	Q13467	0.75
Q9ULW2	O75197	0.75
