#Node1	Node2	weight
P25963	P31749	0.311133
P25963	P49407	0.75
P25963	O15379	0.311133
P25963	O14920	0.75
P25963	P15336	0.473922
P25963	P05412	0.348804
P25963	Q16539	0.311133
P25963	Q04206	0.0
Q16539	P31749	0.75
Q16539	P49407	0.710749
Q16539	O15379	0.75
Q16539	P25963	0.311133
Q16539	O14920	0.311133
Q16539	P15336	0.75
Q16539	P16220	0.75
Q16539	P04150	0.674374
Q16539	Q14765	0.75
Q16539	P05412	0.75
Q16539	P00533	0.75
Q16539	P28482	0.75
Q16539	Q04206	0.28041900000000003
Q16539	P17676	0.62552
Q16539	P01100	0.75
Q16539	O95644	0.75
O15379	P31749	0.311133
O15379	P43405	0.75
O15379	P25963	0.311133
O15379	Q16539	0.75
O15379	Q92793	0.75
O15379	P05412	0.311133
O15379	Q04206	0.75
O15379	O95644	0.666441
Q04206	P18146	0.75
Q04206	P15336	0.75
Q04206	Q13469	0.75
Q04206	P35222	0.41388500000000006
Q04206	Q92793	0.75
Q04206	O15379	0.75
Q04206	P42229	0.348804
Q04206	P04150	0.75
Q04206	P07900	0.473922
Q04206	P01100	0.75
Q04206	O14920	0.75
Q04206	P05412	0.75
Q04206	Q14686	0.49229300000000004
Q04206	Q16539	0.28041900000000003
Q04206	P17676	0.75
Q04206	O95644	0.75
P18146	P31749	0.348804
P18146	Q13469	0.75
P18146	P15336	0.522075
P18146	P00533	0.75
P18146	P35222	0.311133
P18146	P49407	0.348804
P18146	P16220	0.348804
P18146	Q92793	0.75
P18146	P05412	0.348804
P18146	P29350	0.348804
P18146	O95644	0.75
P18146	P00519	0.348804
P18146	P17676	0.75
Q13469	P16220	0.7457060000000001
Q13469	P18146	0.75
Q13469	P42229	0.75
Q13469	P05412	0.75
Q13469	P51692	0.75
Q13469	Q92793	0.49229300000000004
Q13469	Q04206	0.75
Q13469	P01100	0.75
Q13469	O95644	0.75
P31749	Q04206	0.75
P31749	P43405	0.75
P31749	P43403	0.75
P31749	P25963	0.311133
P31749	P18146	0.348804
P31749	P15336	0.6033270000000001
P31749	P16220	0.75
P31749	P00533	0.75
P31749	P35222	0.75
P31749	P49407	0.75
P31749	O15379	0.311133
P31749	Q92793	0.75
P31749	P04150	0.75
P31749	P28482	0.6033270000000001
P31749	O14920	0.75
P04150	P31749	0.75
P04150	P07900	0.75
P04150	P09693	0.311133
P04150	P16220	0.75
P04150	P42229	0.473922
P04150	P05412	0.75
P04150	P04234	0.75
P04150	P00533	0.75
P04150	P51692	0.75
P04150	Q14686	0.75
P04150	Q04206	0.75
P04150	Q92793	0.75
P04150	P17676	0.75
P10912	P42229	0.75
P10912	P52333	0.75
P10912	P51692	0.75
P10912	Q14686	0.75
P10912	P46108	0.75
P10912	Q12913	0.75
P05412	P49407	0.75
P05412	P07900	0.75
P05412	P01100	0.75
P05412	O14920	0.568782
P05412	Q07666	0.41388500000000006
P05412	P17676	0.7457060000000001
P05412	P18146	0.348804
P05412	O15379	0.311133
P05412	Q92793	0.75
P05412	P04150	0.75
P05412	Q14686	0.49229300000000004
P05412	P15336	0.75
P05412	P35222	0.473922
P05412	P16220	0.75
P05412	Q04206	0.75
P05412	P25963	0.348804
P05412	Q13469	0.75
P05412	Q14765	0.311133
P05412	O95644	0.75
P01100	P16220	0.348804
P01100	P15336	0.75
P01100	Q92793	0.75
P01100	Q13469	0.75
P01100	P05412	0.75
P01100	P00533	0.75
P01100	Q14686	0.49229300000000004
P01100	Q04206	0.75
P01100	P00519	0.311133
P01100	O95644	0.7457060000000001
P04435	P49407	0.437443
Q07666	O14920	0.75
Q07666	P46108	0.75
Q07666	P05412	0.41388500000000006
Q07666	P29350	0.75
Q07666	Q92793	0.75
Q07666	P52333	0.75
Q86Y01	P46108	0.75
P07900	P31749	0.75
P07900	Q04206	0.473922
P07900	P04626	0.75
P07900	P15336	0.710749
P07900	P00533	0.75
P07900	P49407	0.710749
P07900	P04150	0.75
P07900	P43403	0.75
P07900	O14920	0.75
P07900	P05412	0.75
P07900	P00519	0.311133
P29350	P49407	0.75
P29350	P43405	0.75
P29350	P43403	0.75
P29350	P18146	0.348804
P29350	P42229	0.473922
P29350	Q96P31	0.75
P29350	P51692	0.75
P29350	P20963	0.75
P29350	P28482	0.49308900000000006
P29350	Q07666	0.75
P29350	P52333	0.75
P51692	P20963	0.75
P51692	P42229	0.75
P51692	P04150	0.75
P51692	P46108	0.75
P51692	P10912	0.75
P51692	Q14765	0.452539
P51692	Q13469	0.75
P16220	P18146	0.348804
P16220	P15336	0.75
P16220	Q13469	0.7457060000000001
P16220	P35222	0.311133
P16220	Q92793	0.75
P16220	P04150	0.75
P16220	P01100	0.348804
P16220	P05412	0.75
P16220	Q16539	0.75
P16220	P00519	0.49229300000000004
P16220	P17676	0.75
P16220	O95644	0.75
P04626	P07900	0.75
P04626	Q9H6Q3	0.75
P04626	P43405	0.75
P04626	P46108	0.75
P04626	P00533	0.75
P04626	P52333	0.62552
P04626	P35222	0.75
P04626	Q12913	0.75
P04626	P00519	0.75
P17676	P07900	0.473922
P17676	P16220	0.75
P17676	P18146	0.75
P17676	P15336	0.311133
P17676	P05412	0.7457060000000001
P17676	P00533	0.311133
P17676	P04150	0.75
P17676	Q92793	0.49229300000000004
P17676	Q04206	0.75
Q92793	Q04206	0.75
Q92793	P18146	0.75
Q92793	P15336	0.75
Q92793	Q13469	0.49229300000000004
Q92793	P35222	0.75
Q92793	P16220	0.75
Q92793	P42229	0.75
Q92793	P04150	0.75
Q92793	Q14765	0.75
Q92793	Q14686	0.75
Q92793	P01100	0.75
Q92793	O14920	0.75
Q92793	P05412	0.75
Q92793	P51692	0.75
Q92793	Q07666	0.75
Q92793	P17676	0.49229300000000004
Q92793	O95644	0.311133
P35222	Q04206	0.41388500000000006
P35222	P18146	0.311133
P35222	P15336	0.710749
P35222	P16220	0.311133
P35222	Q92793	0.75
P35222	Q12913	0.75
P35222	O14920	0.75
Q14686	P15336	0.75
Q14686	Q92793	0.75
Q14686	P04150	0.75
Q14686	P05412	0.49229300000000004
Q14686	Q04206	0.49229300000000004
Q14686	P01100	0.49229300000000004
Q14686	P10912	0.75
P43405	P31749	0.75
P43405	O15379	0.75
P43405	P09693	0.348804
P43405	P42229	0.75
P43405	Q96P31	0.49229300000000004
P43405	P07766	0.75
P43405	P00533	0.75
P43405	P04626	0.75
Q14765	P42229	0.452539
Q14765	P51692	0.452539
Q14765	P46108	0.549323
Q14765	P05412	0.311133
P43403	P31749	0.75
P43403	Q16539	0.75
P43403	Q9H6Q3	0.75
P43403	P04234	0.430888
P43403	P07900	0.75
P43403	P00533	0.75
P43403	P07766	0.75
P43403	P46108	0.75
P43403	P09693	0.75
P43403	Q96P31	0.75
Q9H6Q3	P00533	0.75
Q9H6Q3	P20963	0.75
Q9H6Q3	P04626	0.75
Q9H6Q3	P43403	0.75
P28482	P04626	0.674374
P28482	P18146	0.75
P28482	P15336	0.75
P28482	P00533	0.75
P28482	P49407	0.75
P28482	P16220	0.6033270000000001
P28482	P42229	0.75
P28482	Q92793	0.75
P28482	Q12913	0.75
P28482	Q14686	0.674374
P28482	P01100	0.75
P28482	P05412	0.75
P28482	Q16539	0.75
P28482	P17676	0.75
P20963	Q9H6Q3	0.75
P20963	P49407	0.75
P20963	P43405	0.75
P20963	P43403	0.75
P20963	P09693	0.452539
P20963	P42229	0.75
P20963	P07766	0.75
P20963	P04234	0.452539
P20963	P51692	0.75
P20963	P52333	0.75
P04234	P04150	0.75
P04234	P20963	0.452539
P04234	P07766	0.75
P04234	P43403	0.430888
P04234	P09693	0.452539
P42229	P04150	0.473922
P42229	P46108	0.75
P42229	Q14765	0.452539
P42229	P51692	0.75
P42229	Q13469	0.75
P42229	P20963	0.75
P42229	Q04206	0.348804
P42229	P10912	0.75
P49407	P31749	0.75
P49407	P04435	0.437443
P49407	P25963	0.75
P49407	P18146	0.348804
P49407	P00533	0.75
P49407	P20963	0.75
P49407	Q16539	0.710749
P49407	P07900	0.710749
P49407	O14920	0.348804
P49407	P05412	0.75
P49407	P29350	0.75
P15336	P07900	0.710749
P15336	P25963	0.473922
P15336	P16220	0.75
P15336	P18146	0.522075
P15336	Q16539	0.75
P15336	P05412	0.75
P15336	Q14686	0.75
P15336	P35222	0.710749
P15336	Q04206	0.75
P15336	P17676	0.311133
P15336	P01100	0.75
P15336	O95644	0.75
O95644	O15379	0.666441
O95644	P16220	0.75
O95644	P18146	0.75
O95644	P15336	0.75
O95644	Q92793	0.311133
O95644	P05412	0.75
O95644	Q13469	0.75
O95644	Q04206	0.75
O95644	P01100	0.7457060000000001
P09693	P04150	0.311133
P09693	P20963	0.452539
P09693	P07766	0.75
P09693	P43405	0.348804
P09693	P43403	0.75
P09693	P04234	0.452539
P00519	P04626	0.75
P00519	P43403	0.75
P00519	P25963	0.75
P00519	P18146	0.348804
P00519	P00533	0.75
P00519	P35222	0.75
P00519	P16220	0.49229300000000004
P00519	P42229	0.75
P00519	P01100	0.311133
P00519	P07900	0.311133
P00519	P46108	0.75
P00519	P05412	0.75
P00519	P51692	0.75
P00519	P29350	0.75
P00519	P17676	0.674374
Q9HD43	P10912	0.75
P46108	Q86Y01	0.75
P46108	P04626	0.75
P46108	P10912	0.75
P46108	P43403	0.75
P46108	P42229	0.75
P46108	Q14765	0.549323
P46108	P51692	0.75
P46108	Q07666	0.75
P46108	P00519	0.75
P00533	Q9H6Q3	0.75
P00533	P52333	0.75
P00533	P04626	0.75
P00533	P43403	0.75
P00533	P29350	0.75
P00533	P42229	0.75
P00533	P35222	0.75
P00533	P49407	0.75
P00533	P04150	0.75
P00533	Q12913	0.75
P00533	P43405	0.75
P00533	P01100	0.75
P00533	P07900	0.75
P00533	P46108	0.75
P00533	P51692	0.75
P00533	P17676	0.311133
P52333	P42229	0.75
P52333	P07766	0.311133
P52333	Q14765	0.75
P52333	P51692	0.75
P52333	P20963	0.75
P52333	Q07666	0.75
P52333	P10912	0.75
P52333	O95644	0.674374
O14920	P07900	0.75
O14920	P49407	0.348804
O14920	P25963	0.75
O14920	Q92793	0.75
O14920	P05412	0.568782
O14920	Q07666	0.75
O14920	P35222	0.75
O14920	Q16539	0.311133
O14920	Q04206	0.75
O14920	P01100	0.674374
Q12913	P10912	0.75
Q12913	P28482	0.75
Q12913	P04626	0.75
P07766	P52333	0.311133
P07766	P04234	0.75
P07766	P43405	0.75
P07766	P43403	0.75
P07766	P09693	0.75
P07766	P20963	0.75
Q96P31	P43405	0.49229300000000004
Q96P31	P29350	0.75
Q96P31	P43403	0.75
